Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Started,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count
1158967,"Garden Spells (Waverley Family, #1)",Sarah Addison Allen,"Allen, Sarah Addison",,553805487,9.78E+12,0,4.05,Bantam,Hardcover,290,2007,2007,,,6/17/2014,to-read,to-read (#201),to-read,0
2475251,The Cellist of Sarajevo,Steven Galloway,"Galloway, Steven",,1594489866,9.78E+12,0,3.99,Riverhead Hardcover,Hardcover,235,2008,2008,,,6/17/2014,to-read,to-read (#200),to-read,0
17159009,Never Have I Ever: My Life (So Far) Without a Date,Katie Heaney,"Heaney, Katie",,1455544671,9.78E+12,4,3.52,Grand Central Publishing,Paperback,272,2014,2014,5/15/2014,6/3/2014,1/14/2014,,,read,1
7896527,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,"Maas, Sarah J.",,,,0,4.19,Bloomsbury USA Children's,Hardcover,406,2012,2012,,,6/16/2014,to-read,to-read (#199),to-read,0
18478946,"Dangerous Creatures (Dangerous Creatures, #1)",Kami Garcia,"Garcia, Kami",Margaret Stohl,,9.78E+12,4,3.82,Penguin,ebook,368,2014,2014,6/9/2014,6/16/2014,9/12/2013,,,read,1
15844362,"The One (The Selection, #3)",Kiera Cass,"Cass, Kiera",,62060015,9.78E+12,4,4.18,HarperTeen,ebook,368,2014,2014,5/6/2014,5/11/2014,4/24/2013,,,read,1
17834120,"Killing Ruby Rose (Ruby Rose, #1)",Jessie Humphries,"Humphries, Jessie",,,,0,3.55,Skyscape ,Kindle Edition,300,2014,2014,,,5/15/2014,to-read,to-read (#198),to-read,0
17984141,"The Young Elites (The Young Elites, #1)",Marie Lu,"Lu, Marie",,,,0,3.88,Putnam Books for Young Readers,Kindle Edition,370,2014,2014,,,5/14/2014,to-read,to-read (#197),to-read,0
237209,"In the Woods (Dublin Murder Squad, #1)",Tana French,"French, Tana","David Nathan, Isabel MargelÃ­ Bailo, Ulrike Wasel, Klaus Timmermann",670038601,9.78E+12,0,3.78,Viking,Hardcover,429,2007,2007,,,5/14/2014,to-read,to-read (#196),to-read,0
16158596,Lexicon,Max Barry,"Barry, Max",,1594205388,9.78E+12,0,3.92,Penguin Press,Hardcover,390,2013,2013,,,5/14/2014,to-read,to-read (#195),to-read,0
1254951,"The Luxe (Luxe, #1)",Anna Godbersen,"Godbersen, Anna",,61345660,9.78E+12,0,3.64,HarperCollins,Hardcover,433,2007,2007,,,5/8/2014,to-read,to-read (#193),to-read,0
18209454,"The Thousand-Dollar Tan Line (Veronica Mars, #1)",Rob Thomas,"Thomas, Rob",Jennifer Graham,804170703,9.78E+12,4,3.98,Vintage Books,Paperback,324,2014,2014,5/1/2014,5/1/2014,5/8/2014,,,read,1
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,142000671,9.78E+12,0,3.88,Penguin Books,Paperback,112,2002,1937,,,4/17/2014,to-read,to-read (#192),to-read,0
16115038,Grim,Christine   Johnson,"Johnson, Christine","Kimberly Derting, Sonia Gensler, Tessa Gratton, Claudia Gray, Rachel Hawkins, Amanda Hocking, Ellen Hopkins, Shaun David Hutchinson, Julie Kagawa, Malinda Lo, Myra McEntire, Saundra Mitchell, Jackson Pearce, Sarah Rees Brennan, Jeri Smith-Ready, Kelley Skovron",,,0,3.73,Harlequin Teen,Kindle Edition,480,2014,2014,,,4/17/2014,to-read,to-read (#191),to-read,0
17934493,Plus One,Elizabeth Fama,"Fama, Elizabeth",,374360073,9.78E+12,0,3.72,"Farrar, Straus and Giroux (BYR)",Hardcover,373,2014,2014,,,4/17/2014,to-read,to-read (#190),to-read,0
8475505,"Rebel Belle (Rebel Belle, #1)",Rachel Hawkins,"Hawkins, Rachel",,399256938,9.78E+12,4,3.82,Putnam Juvenile,Hardcover,345,2014,2014,4/16/2014,4/16/2014,1/3/2013,,,read,1
15802402,The List,Karin Tanabe,"Tanabe, Karin",,1451695594,9.78E+12,0,3.34,Washington Square Press,Paperback,384,2013,2013,,,3/22/2014,to-read,to-read (#189),to-read,0
15792316,"Split Second (Pivot Point, #2)",Kasie West,"West, Kasie",,,,4,4.12,HarperTeen,Kindle Edition,360,2014,2014,2/25/2014,2/26/2014,9/10/2013,,,read,1
