book_id,title,author,additional_authors,isbn,isbn13,my_rating,average_rating,publisher,format,number_of_pages,original_publication_year,date_started,date_read,date_added,bookshelves,exclusive_shelf,read_count,type
17724884,"Winds of Salem (The Beauchamp Family, #3)",Melissa de la Cruz,NA,1401305016,9780000000000,4,3.61,Hyperion,ebook,288,2013,2013-09-10,2013-09-19,2013-01-03,NA,read,1,JMH
13547080,The Runaway Princess,Hester Browne,NA,1439168857,9780000000000,0,3.73,Gallery Books,Paperback,431,2012,NA,NA,2013-09-18,to-read,to-read,0,JMH
1188294,"Perfect Cover (The Squad, #1)",Jennifer Lynn Barnes,NA,385734549,9780000000000,0,3.84,Laurel-Leaf,Paperback,275,2008,NA,NA,2013-09-12,to-read,to-read,0,JMH
6488327,Troy High,Shana Norris,NA,810946475,9780000000000,0,3.83,Harry N. Abrams,Hardcover,208,2009,NA,NA,2013-09-12,to-read,to-read,0,JMH
5603651,"Sleepaway Girls (Whispering Pines, #1)",Jen Calonita,NA,316017175,9780000000000,0,4.07,"Little, Brown Young Readers",Hardcover,297,2009,NA,NA,2013-09-12,to-read,to-read,0,JMH
15283043,"The Distance Between Us (Old Town Shops, #1)",Kasie West,NA,62235656,9780000000000,0,3.92,HarperTeen,Paperback,320,2013,NA,NA,2013-09-10,to-read,to-read,0,JMH
11410430,"Defiance (Defiance, #1)",C.J. Redwine,NA,62117181,9780000000000,0,3.67,Balzer + Bray,Hardcover,403,2012,NA,NA,2013-09-10,to-read,to-read,0,JMH
13034113,"Valkyrie Rising (Valkyrie, #1)",Ingrid  Paulson,NA,62025724,9780000000000,0,3.75,HarperTeen,Hardcover,352,2012,NA,NA,2013-09-10,to-read,to-read,0,JMH
3153910,The Art of Racing in the Rain,Garth Stein,NA,1554681723,9780000000000,0,4.22,Harper Collins,Hardcover,321,2008,NA,NA,2013-09-02,to-read,to-read,0,JMH
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,NA,786856866,9780000000000,4,4.24,Hyperion Books,Hardcover,279,2006,2013-08-05,2013-08-12,2010-09-10,NA,read,1,JMH
18053786,"The Storybook of Legends (Ever After High, #1)",Shannon Hale,NA,316401226,9780000000000,0,4.08,"Little, Brown and Company",Hardcover,305,2013,NA,NA,2013-08-12,to-read,to-read,0,JMH
12252703,Sorry I'm Not Sorry,@SororityProblem,NA,NA,NA,0,3.42,NA,Unknown Binding,77,2011,NA,NA,2013-08-12,to-read,to-read,0,JMH
17864508,"Chose the Wrong Guy, Gave Him the Wrong Finger",Beth Harbison,NA,1611738490,9780000000000,0,3.29,Center Point,Hardcover,414,2013,NA,NA,2013-08-08,to-read,to-read,0,JMH
17252845,"Wrong Side of Town (With Me, #3)",Komal Kant,NA,NA,NA,0,3.54,NA,ebook,NA,2013,NA,NA,2013-08-08,to-read,to-read,0,JMH
16130465,The First Affair,Emma McLaughlin,Nicola Kraus,145164342X,9780000000000,0,2.91,Atria Books,Hardcover,239,2013,NA,NA,2013-08-08,to-read,to-read,0,JMH
17910609,Good Prose: The Art of Nonfiction,Tracy Kidder,Richard Todd,812982150,9780000000000,0,3.91,Random House Trade Paperbacks,Paperback,195,2013,NA,NA,2013-08-07,to-read,to-read,0,JMH
11988046,"Pivot Point (Pivot Point, #1)",Kasie West,NA,62117378,9780000000000,3,4.07,HarperTeen,Hardcover,343,2013,2013-07-29,2013-08-04,2013-02-25,NA,read,1,JMH
14811943,Rise,Anna Carey,NA,62048570,9780000000000,3,3.74,HarperCollins,Hardcover,310,2013,2013-07-20,2013-07-28,2013-07-20,NA,read,1,JMH
5266279,Godmother: The Secret Cinderella Story,Carolyn Turgeon,NA,307407993,9780000000000,0,3.29,Broadway Books,Paperback,288,2009,NA,NA,2013-07-23,to-read,to-read,0,JMH
22649,Bookends,Jane Green,NA,767907817,9780000000000,0,3.73,Broadway Books,Paperback,368,2000,NA,NA,2013-07-23,to-read,to-read,0,JMH
40440,The Thirteenth Tale,Diane Setterfield,NA,743298020,9780000000000,0,3.97,Atria Books,Hardcover,406,2006,NA,NA,2013-07-23,to-read,to-read,0,JMH
16058645,The Bookstore,Deborah Meyler,NA,147671424X,9780000000000,0,3.08,Gallery Books,Paperback,336,2013,NA,NA,2013-07-22,to-read,to-read,0,JMH
12924253,"Once (Eve, #2)",Anna Carey,NA,62048546,9780000000000,4,3.89,HarperCollins,Hardcover,354,2012,2013-07-15,2013-07-20,2013-07-15,NA,read,1,JMH
11731861,"Significance (Significance, #1)",Shelly Crane,NA,NA,NA,0,4.09,Kiss Me Publications,ebook,396,2011,NA,NA,2013-07-11,to-read,to-read,0,JMH
16131088,The Irresistible Blueberry Bakeshop & Cafe,Mary Simses,NA,316225851,9780000000000,0,3.48,"Little, Brown and Company",Hardcover,345,2013,NA,NA,2013-07-11,to-read,to-read,0,JMH
15783307,"The Perfect Game (The Perfect Game, #1)",J. Sterling,NA,NA,NA,0,3.94,NA,ebook,379,2012,NA,NA,2013-07-11,to-read,to-read,0,JMH
11561469,"Reason to Breathe (Breathing, #1)",Rebecca    Donovan,NA,NA,NA,0,4.22,NA,ebook,377,2011,NA,NA,2013-07-11,to-read,to-read,0,JMH
12924333,"So Close to You (So Close to You, #1)",Rachel       Carter,NA,62081055,9780000000000,0,3.77,HarperTeen,Hardcover,313,2012,NA,NA,2013-07-11,to-read,to-read,0,JMH
16124145,"Anomaly (Anomaly, #1)",Krista McGee,NA,1401688721,9780000000000,0,3.71,Thomas Nelson Publishers,Paperback,312,2013,NA,NA,2013-07-11,to-read,to-read,0,JMH
18126905,"Luminary (Anomaly, #2)",Krista McGee,NA,1401688748,9780000000000,0,4.08,Thomas Nelson,Paperback,320,2014,NA,NA,2013-07-11,to-read,to-read,0,JMH
17212231,"Inferno (Robert Langdon, #4)",Dan Brown,NA,385537859,9780000000000,3,3.87,Doubleday,Hardcover,463,2013,2013-06-28,2013-07-09,2013-06-28,NA,read,1,JMH
16248078,"The English Girl (Gabriel Allon, #13)",Daniel Silva,NA,62073168,9780000000000,0,4.14,"HarperCollins Publishers, Inc.",Hardcover,482,2013,NA,NA,2013-07-08,to-read,to-read,0,JMH
10838776,"The Goddess Inheritance  (Goddess Test, #3)",Aimee Carter,NA,373210671,9780000000000,3,3.94,Harlequin Teen,Paperback,304,2013,2013-06-28,2013-06-28,2013-04-12,NA,read,1,JMH
15826934,"School Spirits (Hex Hall, #4)",Rachel Hawkins,NA,1423148495,9780000000000,3,3.93,Disney-Hyperion,Hardcover,297,2013,2013-06-20,2013-06-28,2013-01-03,NA,read,1,JMH
9844,Prep,Curtis Sittenfeld,NA,081297235X,9780000000000,0,3.41,Random House Trade Paperbacks,Paperback,420,2005,NA,NA,2012-10-15,to-read,to-read,0,JMH
12637490,"Goddess Interrupted (Goddess Test, #2)",Aimee Carter,NA,373210450,9780000000000,3,3.99,Harlequin Teen,Paperback,304,2012,2013-05-01,2013-05-11,2013-04-12,NA,read,1,JMH
17307704,Running Like a Girl,Alexandra Heminsley,NA,91944368,9780000000000,4,3.89,Hutchinson,Paperback,240,2013,2013-04-24,2013-05-26,2013-05-29,NA,read,1,JMH
27,Neither Here nor There: Travels in Europe,Bill Bryson,NA,380713802,9780000000000,0,3.85,William Morrow Paperbacks,Paperback,254,1991,NA,NA,2013-05-08,to-read,to-read,0,JMH
7747064,"The Iron Daughter (The Iron Fey, #2)",Julie Kagawa,NA,373210132,9780000000000,0,4.07,Harlequin Teen,Paperback,359,2010,NA,NA,2012-05-14,to-read,to-read,0,JMH
8565083,Cinderella Ate My Daughter: Dispatches from the Frontlines of the New Girlie-Girl Culture,Peggy Orenstein,NA,61711527,9780000000000,4,3.67,Harper,Hardcover,245,2011,2013-04-17,2013-04-23,2011-04-27,NA,read,1,JMH
15801668,The Girls of Atomic City: The Untold Story of the Women Who Helped Win World War II,Denise Kiernan,NA,1451617526,9780000000000,0,3.69,Touchstone/Simon & Schuster,Hardcover,373,2013,NA,NA,2013-04-17,to-read,to-read,0,JMH
12999306,"The Goddess Hunt (Goddess Test, #1.5)",Aimee Carter,NA,1426834152,9780000000000,4,3.8,Harlequin Teen,ebook,92,2012,2013-04-13,2013-04-15,2013-04-12,NA,read,1,JMH
9681214,"The Goddess Test (Goddess Test, #1)",Aimee Carter,NA,373210264,9780000000000,4,3.8,Harlequin Teen,Paperback,293,2011,2013-04-11,2013-04-12,2013-04-11,NA,read,1,JMH
15994634,Z: A Novel of Zelda Fitzgerald,Therese Anne Fowler,NA,1250028647,9780000000000,0,3.86,St. Martin's Press,ebook,464,2013,NA,NA,2013-04-11,to-read,to-read,0,JMH
1656001,"The Host (The Host, #1)",Stephenie Meyer,NA,316068047,9780000000000,4,3.85,"Little, Brown and Company",Hardcover,624,2008,2013-04-03,2013-04-11,2013-04-03,NA,read,1,JMH
15803757,"The Best Man (Blue Heron, #1)",Kristan Higgins,NA,373777922,9780000000000,3,3.92,Harlequin HQN,Paperback,426,2013,2013-04-10,2013-04-11,2013-04-10,NA,read,1,JMH
14743352,Revenge Wears Prada: The Devil Returns,Lauren Weisberger,NA,NA,NA,0,2.96,Simon & Schuster,ebook,400,2013,NA,NA,2013-04-10,to-read,to-read,0,JMH
16044981,"Fly Away (Firefly Lane, #2)",Kristin Hannah,NA,312577214,9780000000000,0,3.98,St. Martin's Press,Hardcover,400,2013,NA,NA,2013-04-10,to-read,to-read,0,JMH
450904,Prince Charming (Ascension Trilogy #3),Gaelen Foley,NA,449006352,9780000000000,3,3.87,Ivy Books,Paperback,404,2000,2013-03-27,2013-04-03,2013-02-28,NA,read,1,JMH
10222362,"MILA 2.0 (MILA 2.0, #1)",Debra Driza,NA,62090364,9780000000000,0,3.69,Katherine Tegen Books,Hardcover,470,2013,NA,NA,2013-04-03,to-read,to-read,0,JMH
