gid,award_rank,award_votes,award_category,award_year,pages,date_published
8935153,12,600,Paranormal Fantasy,2011,320,2011-06-07
8356487,13,574,Paranormal Fantasy,2011,374,2011-07-01
10783217,14,498,Paranormal Fantasy,2011,354,2011-09-06
8926959,15,471,Paranormal Fantasy,2011,419,2011-06-07
9533378,16,336,Paranormal Fantasy,2011,304,2011-05-03
7797032,17,309,Paranormal Fantasy,2011,352,2011-08-04
9571401,18,148,Paranormal Fantasy,2011,381,2011-09-01
8105616,19,135,Paranormal Fantasy,2011,443,2011-01-04
9565574,20,92,Paranormal Fantasy,2011,371,2011-07-05
10644930,1,4429,Science Fiction,2011,849,2011-11-08
9969571,2,3402,Science Fiction,2011,374,2011-08-16
11045709,3,2682,Science Fiction,2011,344,2011-10-04
12620241,4,2611,Science Fiction,2011,129,2011-09-16
9634967,5,2234,Science Fiction,2011,347,2011-06-07
9673936,6,1634,Science Fiction,2011,352,2011-08-02
9265453,7,1424,Science Fiction,2011,345,2011-05-17
9795166,8,1251,Science Fiction,2011,402,2011-04-26
10648186,9,1160,Science Fiction,2011,307,2011-08-30
8855321,10,897,Science Fiction,2011,561,2011-06-02
9647532,11,461,Science Fiction,2011,303,NA
8429441,12,420,Science Fiction,2011,338,2011-04-05
9762449,13,359,Science Fiction,2011,328,2011-08-02
10138547,14,302,Science Fiction,2011,358,2011-07-05
9676849,15,255,Science Fiction,2011,356,2011-04-26
8714075,16,210,Science Fiction,2011,457,2011-04-05
8701508,17,105,Science Fiction,2011,433,NA
9432902,18,71,Science Fiction,2011,554,2011-07-01
10207116,19,39,Science Fiction,2011,400,2011-07-01
9756310,20,32,Science Fiction,2011,512,2011-09-15
5957313,1,3264,Horror,2011,324,2011-05-09
7830126,2,2816,Horror,2011,442,2010-12-28
8429687,3,1985,Horror,2011,584,2011-06-01
8718281,4,1608,Horror,2011,287,2011-03-22
10209997,5,1509,Horror,2011,378,2011-10-04
9640626,6,1441,Horror,2011,320,2011-07-05
9440171,7,1382,Horror,2011,337,NA
9421748,8,1194,Horror,2011,277,2011-08-18
10365343,9,1019,Horror,2011,259,2011-10-18
9065272,10,596,Horror,2011,384,2011-02-22
11422798,11,309,Horror,2011,460,2011-06-01
9532302,12,294,Horror,2011,346,2011-04-07
10108463,13,288,Horror,2011,261,2011-07-12
6945530,14,243,Horror,2011,371,2011-10-25
8585317,15,240,Horror,2011,415,2011-01-24
9120730,16,223,Horror,2011,435,2011-03-29
9466865,17,156,Horror,2011,403,2011-06-28
11876043,18,136,Horror,2011,260,2011-10-07
10644437,19,135,Horror,2011,319,2011-02-28
10772903,20,112,Horror,2011,357,2011-09-06
8492319,1,5009,Romance,2011,512,2011-03-29
10818853,2,3815,Romance,2011,356,2011-05-25
10506237,3,2830,Romance,2011,320,2011-06-15
9571478,4,2778,Romance,2011,374,2011-05-31
9410421,5,2724,Romance,2011,472,2011-04-12
9650938,6,2322,Romance,2011,415,2011-05-31
8437379,7,1917,Romance,2011,385,2011-01-18
9065265,8,1850,Romance,2011,369,2011-08-02
8038219,9,1672,Romance,2011,426,2011-09-27
8534799,10,1441,Romance,2011,515,2011-02-15
8449698,11,706,Romance,2011,372,2011-01-25
8150317,12,500,Romance,2011,387,2011-06-28
8843801,13,488,Romance,2011,402,2011-04-01
9314304,14,440,Romance,2011,405,2011-05-03
8074967,15,439,Romance,2011,310,2011-09-06
8538297,16,434,Romance,2011,307,2011-05-01
9637479,17,409,Romance,2011,312,2011-05-03
8419428,18,291,Romance,2011,274,2011-03-01
8111651,19,273,Romance,2011,405,2011-01-20
10140661,20,186,Romance,2011,506,2011-04-04
9418327,1,8722,Humor,2011,283,2011-04-05
11192642,2,7781,Humor,2011,64,2011-06-14
9972053,3,3321,Humor,2011,258,2011-05-03
9713837,4,2228,Humor,2011,306,2011-05-03
10335308,5,2110,Humor,2011,222,2011-11-01
10041004,6,1963,Humor,2011,292,2011-05-10
11230081,7,1923,Humor,2011,241,2011-10-04
10505349,8,882,Humor,2011,176,2011-05-23
9452338,9,863,Humor,2011,269,2011-04-25
8495145,10,856,Humor,2011,231,2011-08-16
9673577,11,410,Humor,2011,240,2011-07-26
10227995,12,389,Humor,2011,279,2011-03-22
10790819,13,273,Humor,2011,329,2011-08-09
9965550,14,240,Humor,2011,309,NA
9875493,15,215,Humor,2011,375,NA
8520878,16,200,Humor,2011,304,2011-02-01
12306447,17,161,Humor,2011,212,2011-10-17
8586212,18,124,Humor,2011,357,NA
10880532,19,116,Humor,2011,NA,2011-01-25
7841659,20,101,Humor,2011,191,2011-01-04
8535464,1,4110,Nonfiction,2011,448,2009-04-01
8565083,2,2831,Nonfiction,2011,245,2011-01-25
10283787,3,2049,Nonfiction,2011,338,2011-03-22
9378733,4,1832,Nonfiction,2011,288,2011-05-12
6346975,5,1596,Nonfiction,2011,307,2011-03-03
11151351,6,963,Nonfiction,2011,77,NA
9534444,7,729,Nonfiction,2011,213,2011-10-03
10081832,8,725,Nonfiction,2011,444,2011-07-19
9628743,9,660,Nonfiction,2011,424,2011-03-08
10782350,10,547,Nonfiction,2011,288,2011-05-24
8884400,11,342,Nonfiction,2011,303,2011-03-01
8701960,12,287,Nonfiction,2011,527,2011-03-01
11256979,13,214,Nonfiction,2011,271,2011-10-04
10368067,14,178,Nonfiction,2011,85,2011-03-01
7841446,15,152,Nonfiction,2011,432,2011-04-12
10021420,16,130,Nonfiction,2011,320,2011-07-12
9319468,17,123,Nonfiction,2011,288,2011-02-22
10091466,18,88,Nonfiction,2011,444,2011-07-05
10596103,19,65,Nonfiction,2011,294,2011-05-12
9827912,20,63,Nonfiction,2011,290,2011-05-31
11084145,1,5463,History & Biography,2011,627,2011-10-24
9938498,2,3128,History & Biography,2011,448,2011-05-10
10414941,3,2097,History & Biography,2011,625,2011-11-08
10340846,4,1371,History & Biography,2011,329,2011-08-23
11305364,5,1265,History & Biography,2011,540,2011-05-17
8584913,6,1129,History & Biography,2011,258,2011-03-15
